+---------------------------------------------------------------+----------+------+------+-------+---------+
| name                                                          | calories | fat  | carb | fiber | protein |
+---------------------------------------------------------------+----------+------+------+-------+---------+
| Egg White Delight                                             |      250 |    8 |   30 |     4 |      18 |
| Sausage McMuffin                                              |      370 |   23 |   29 |     4 |      14 |
| Sausage McMuffin with Egg                                     |      450 |   28 |   30 |     4 |      21 |
| Sausage McMuffin with Egg Whites                              |      400 |   23 |   30 |     4 |      21 |
| Steak & Egg McMuffin                                          |      430 |   23 |   31 |     4 |      26 |
| Bacon, Egg & Cheese Biscuit (Regular Biscuit)                 |      460 |   26 |   38 |     2 |      19 |
| Bacon, Egg & Cheese Biscuit (Large Biscuit)                   |      520 |   30 |   43 |     3 |      19 |
| Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit) |      410 |   20 |   36 |     2 |      20 |
| Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)   |      470 |   25 |   42 |     3 |      20 |
| Sausage Biscuit (Regular Biscuit)                             |      430 |   27 |   34 |     2 |      11 |
| Sausage Biscuit (Large Biscuit)                               |      480 |   31 |   39 |     3 |      11 |
| Sausage Biscuit with Egg (Regular Biscuit)                    |      510 |   33 |   36 |     2 |      18 |
| Sausage Biscuit with Egg (Large Biscuit)                      |      570 |   37 |   42 |     3 |      18 |
| Sausage Biscuit with Egg Whites (Regular Biscuit)             |      460 |   27 |   34 |     2 |      18 |
| Sausage Biscuit with Egg Whites (Large Biscuit)               |      520 |   32 |   40 |     3 |      18 |
| Southern Style Chicken Biscuit (Regular Biscuit)              |      410 |   20 |   41 |     2 |      17 |
| Southern Style Chicken Biscuit (Large Biscuit)                |      470 |   24 |   46 |     3 |      17 |
| Steak & Egg Biscuit (Regular Biscuit)                         |      540 |   32 |   38 |     2 |      25 |
| Bacon, Egg & Cheese McGriddles                                |      460 |   21 |   48 |     2 |      19 |
| Bacon, Egg & Cheese McGriddles with Egg Whites                |      400 |   15 |   47 |     2 |      20 |
| Sausage McGriddles                                            |      420 |   22 |   44 |     2 |      11 |
| Sausage, Egg & Cheese McGriddles                              |      550 |   31 |   48 |     2 |      20 |
| Sausage, Egg & Cheese McGriddles with Egg Whites              |      500 |   26 |   46 |     2 |      21 |
| Bacon, Egg & Cheese Bagel                                     |      620 |   31 |   57 |     3 |      30 |
| Bacon, Egg & Cheese Bagel with Egg Whites                     |      570 |   25 |   55 |     3 |      30 |
| Steak, Egg & Cheese Bagel                                     |      670 |   35 |   56 |     3 |      33 |
| Big Breakfast (Regular Biscuit)                               |      740 |   48 |   51 |     3 |      28 |
| Big Breakfast (Large Biscuit)                                 |      800 |   52 |   56 |     4 |      28 |
| Big Breakfast with Egg Whites (Regular Biscuit)               |      640 |   37 |   50 |     3 |      26 |
| Big Breakfast with Egg Whites (Large Biscuit)                 |      690 |   41 |   55 |     4 |      26 |
| Big Breakfast with Hotcakes (Regular Biscuit)                 |     1090 |   56 |  111 |     6 |      36 |
| Big Breakfast with Hotcakes (Large Biscuit)                   |     1150 |   60 |  116 |     7 |      36 |
| Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit)  |      990 |   46 |  110 |     6 |      35 |
| Big Breakfast with Hotcakes and Egg Whites (Large Biscuit)    |     1050 |   50 |  115 |     7 |      35 |
| Hotcakes                                                      |      350 |    9 |   60 |     3 |       8 |
| Hotcakes and Sausage                                          |      520 |   24 |   61 |     3 |      15 |
| Sausage Burrito                                               |      300 |   16 |   26 |     1 |      12 |
| Hash Brown                                                    |      150 |    9 |   15 |     2 |       1 |
| Cinnamon Melts                                                |      460 |   19 |   66 |     3 |       6 |
| Fruit & Maple Oatmeal                                         |      290 |    4 |   58 |     5 |       5 |
| Fruit & Maple Oatmeal without Brown Sugar                     |      260 |    4 |   49 |     5 |       5 |
| Big Mac                                                       |      530 |   27 |   47 |     3 |      24 |
| Quarter Pounder with Cheese                                   |      520 |   26 |   41 |     3 |      30 |
| Quarter Pounder with Bacon & Cheese                           |      600 |   29 |   48 |     3 |      37 |
| Quarter Pounder with Bacon Habanero Ranch                     |      610 |   31 |   46 |     3 |      37 |
| Quarter Pounder Deluxe                                        |      540 |   27 |   45 |     3 |      29 |
| Double Quarter Pounder with Cheese                            |      750 |   43 |   42 |     3 |      48 |
| Hamburger                                                     |      240 |    8 |   32 |     1 |      12 |
| Cheeseburger                                                  |      290 |   11 |   33 |     2 |      15 |
| Double Cheeseburger                                           |      430 |   21 |   35 |     2 |      24 |
| Bacon Clubhouse Burger                                        |      720 |   40 |   51 |     4 |      39 |
| McDouble                                                      |      380 |   17 |   34 |     2 |      22 |
| Bacon McDouble                                                |      440 |   22 |   35 |     2 |      27 |
| Daily Double                                                  |      430 |   22 |   34 |     2 |      22 |
| Jalapeño Double                                               |      430 |   23 |   35 |     2 |      22 |
| McRib                                                         |      500 |   26 |   44 |     3 |      22 |
| Premium Crispy Chicken Classic Sandwich                       |      510 |   22 |   55 |     3 |      24 |
| Premium Grilled Chicken Classic Sandwich                      |      350 |    9 |   42 |     3 |      28 |
| Premium Crispy Chicken Club Sandwich                          |      670 |   33 |   58 |     3 |      36 |
| Premium Grilled Chicken Club Sandwich                         |      510 |   20 |   44 |     3 |      40 |
| Premium Crispy Chicken Ranch BLT Sandwich                     |      610 |   28 |   57 |     3 |      32 |
| Premium Grilled Chicken Ranch BLT Sandwich                    |      450 |   15 |   43 |     3 |      36 |
| Bacon Clubhouse Crispy Chicken Sandwich                       |      750 |   38 |   65 |     4 |      36 |
| Bacon Clubhouse Grilled Chicken Sandwich                      |      590 |   25 |   51 |     4 |      40 |
| Southern Style Crispy Chicken Sandwich                        |      430 |   19 |   43 |     2 |      21 |
| McChicken                                                     |      360 |   16 |   40 |     2 |      14 |
| Bacon Cheddar McChicken                                       |      480 |   24 |   43 |     2 |      22 |
| Bacon Buffalo Ranch McChicken                                 |      430 |   21 |   41 |     2 |      20 |
| Buffalo Ranch McChicken                                       |      360 |   16 |   40 |     2 |      14 |
| Premium McWrap Chicken & Bacon (Crispy Chicken)               |      630 |   32 |   56 |     3 |      32 |
| Premium McWrap Chicken & Bacon (Grilled Chicken)              |      480 |   19 |   42 |     3 |      36 |
| Premium McWrap Chicken & Ranch (Crispy Chicken)               |      610 |   31 |   56 |     3 |      27 |
| Premium McWrap Chicken & Ranch (Grilled Chicken)              |      450 |   18 |   42 |     3 |      30 |
| Premium McWrap Southwest Chicken (Crispy Chicken)             |      670 |   33 |   68 |     5 |      27 |
| Premium McWrap Southwest Chicken (Grilled Chicken)            |      520 |   20 |   55 |     5 |      31 |
| Premium McWrap Chicken Sweet Chili (Crispy Chicken)           |      540 |   23 |   61 |     3 |      23 |
| Premium McWrap Chicken Sweet Chili (Grilled Chicken)          |      380 |   10 |   47 |     3 |      27 |
| Chicken McNuggets (4 piece)                                   |      190 |   12 |   12 |     1 |       9 |
| Chicken McNuggets (6 piece)                                   |      280 |   18 |   18 |     1 |      13 |
| Chicken McNuggets (10 piece)                                  |      470 |   30 |   30 |     2 |      22 |
| Chicken McNuggets (20 piece)                                  |      940 |   59 |   59 |     3 |      44 |
