+------------+------------+--------+---------+----------+------------+
| foodDate   | calorieSum | fatSum | carbSum | fiberSum | proteinSum |
+------------+------------+--------+---------+----------+------------+
| 2023-05-02 |        970 |     42 |     123 |        3 |         28 |
| 2023-05-27 |        800 |     30 |     107 |        2 |         25 |
| 2023-05-19 |       1150 |     60 |     116 |        7 |         36 |
| 2023-05-21 |       1150 |     33 |     192 |        4 |         25 |
| 2023-05-18 |       1170 |     60 |     108 |        5 |         47 |
| 2023-05-20 |        860 |     35 |     129 |        4 |         10 |
| 2023-05-22 |       1530 |     54 |     227 |        3 |         31 |
| 2023-05-03 |        790 |     38 |      90 |       11 |         22 |
| 2023-05-01 |        880 |     41 |     103 |        3 |         23 |
| 2023-05-04 |       3620 |    204 |     289 |       16 |        161 |
| 2023-05-28 |       1320 |     68 |     106 |        2 |         73 |
| 2023-05-07 |        980 |     49 |      87 |        4 |         46 |
| 2023-05-29 |       2530 |    109 |     329 |        6 |         63 |
| 2023-05-25 |        310 |      5 |      52 |        3 |         12 |
| 2023-05-13 |        160 |      9 |      18 |        0 |          2 |
| 2023-05-24 |       1680 |     87 |     160 |        7 |         69 |
| 2023-05-06 |       1100 |     54 |     137 |        2 |         27 |
| 2023-05-14 |       1010 |     33 |     146 |        8 |         32 |
| 2023-05-31 |        640 |     23 |      86 |       10 |         18 |
| 2023-05-23 |       1510 |     62 |     158 |       11 |         83 |
| 2023-05-10 |        740 |     32 |      83 |        3 |         32 |
| 2023-05-12 |        190 |     11 |      21 |        0 |          3 |
| 2023-05-30 |        830 |     20 |     140 |        3 |         23 |
| 2023-05-16 |       1080 |     64 |      95 |        4 |         32 |
| 2023-05-15 |       2400 |    112 |     274 |       10 |         71 |
| 2023-05-11 |        810 |     28 |     121 |        3 |         21 |
| 2023-05-09 |        310 |     12 |      49 |        0 |          3 |
| 2023-05-17 |        630 |     31 |      73 |        2 |         14 |
| 2023-05-08 |       1150 |     54 |     107 |        8 |         59 |
| 2023-05-26 |        740 |     23 |     113 |        5 |         19 |
| 2023-06-30 |       1890 |    118 |     121 |        6 |         90 |
| 2023-06-22 |        630 |     26 |      91 |        1 |          9 |
| 2023-06-01 |        710 |     18 |     117 |        4 |         19 |
| 2023-06-18 |       2360 |    118 |     247 |       10 |         75 |
| 2023-06-14 |        210 |      4 |      43 |        0 |          0 |
| 2023-06-20 |       2020 |    101 |     191 |        9 |         74 |
| 2023-06-04 |        370 |     14 |      56 |        3 |          5 |
| 2023-06-09 |        620 |     31 |      57 |        3 |         30 |
| 2023-06-03 |        910 |     44 |      98 |        3 |         33 |
| 2023-06-08 |       2290 |    109 |     246 |        9 |         81 |
| 2023-06-29 |       1890 |     84 |     233 |        2 |         57 |
+------------+------------+--------+---------+----------+------------+
